Percentile,Income Range,Median Income,Households (M),Class,Estimated Tax,Effective Tax Rate (%),Net Income After Tax
0–10%,"$0–$15,000",9000,13,Working Class,450.05,5.0,8549.95
10–20%,"$15,001–$30,000",22000,13,Working Class,1200.0500000000002,5.45,20799.95
20–30%,"$30,001–$45,000",38000,13,Working Class,2800.05,7.37,35199.95
30–40%,"$45,001–$60,000",52000,13,Lower Middle,4300.05,8.27,47699.95
40–50%,"$60,001–$75,000",68000,13,Middle Class,6700.05,9.85,61299.95
50–60%,"$75,001–$90,000",83000,13,Middle Class,8950.05,10.78,74049.95
60–70%,"$90,001–$110,000",100000,13,Upper Middle,11500.05,11.5,88499.95
70–80%,"$110,001–$150,000",130000,13,Upper Middle,17500.05,13.46,112499.95
80–90%,"$150,001–$200,000",175000,13,Upper Class,26500.05,15.14,148499.95
90–100%,"$200,001+",275000,13,Upper Class,54000.05,19.64,220999.95
