Percentile,Income Range,Median Income,Households (M),Class,Estimated Tax,Effective Tax Rate (%),Net Income After Tax
0–10%,"$0–$15,000",9000,13,Working Class,0.0,0.0,9000.0
10–20%,"$15,001–$30,000",22000,13,Working Class,0.0,0.0,22000.0
20–30%,"$30,001–$45,000",38000,13,Working Class,400.0,1.05,37600.0
30–40%,"$45,001–$60,000",52000,13,Lower Middle,1100.0,2.12,50900.0
40–50%,"$60,001–$75,000",68000,13,Middle Class,2300.0,3.38,65700.0
50–60%,"$75,001–$90,000",83000,13,Middle Class,3800.0,4.58,79200.0
60–70%,"$90,001–$110,000",100000,13,Upper Middle,5500.0,5.5,94500.0
70–80%,"$110,001–$150,000",130000,13,Upper Middle,9300.0,7.15,120700.0
80–90%,"$150,001–$200,000",175000,13,Upper Class,17400.0,9.94,157600.0
90–100%,"$200,001+",275000,13,Upper Class,37900.0,13.78,237100.0
